#time(s),angle(deg)
0.0,2.9934022618391682
1.0,10.993432214213092
2.0,15.983074865647296
3.0,20.208599383220967
4.0,23.50062590518184
5.0,26.481078625792673
6.0,29.168318615167767
7.0,31.708426246468157
8.0,34.072470622145964
9.0,36.28963528301608
10.0,38.32891889790332
11.0,40.39413483591683
12.0,42.31389765824141
13.0,44.21656492301355
14.0,46.05325386512105
15.0,47.8297026987193
16.0,49.55461412109422
17.0,51.18651557381794
18.0,52.82671883033113
19.0,54.47594841101895
20.0,56.04640622631791
21.0,57.584419069231295
22.0,59.141303595249305
23.0,60.67093744387542
24.0,62.13530638817171
25.0,63.62052648128467
26.0,65.08751220051849
27.0,66.53549242544014
28.0,68.0097567771922
29.0,69.46707707733584
30.0,70.83194838040254
31.0,72.26462871847596
32.0,73.64702222581408
33.0,75.05979195088435
34.0,76.42435169949535
35.0,77.7824176824857
36.0,79.09592994499653
37.0,80.48119942135406
38.0,81.86250777215449
39.0,83.08745562581291
40.0,84.34859779008005
41.0,85.60855734356309
42.0,87.24967588829439
43.0,88.62415505792852
44.0,90.0
